Name,Email,Motto,# Enrolled Paths,# Completed Paths,# Correct Answers,# Incorrect Answers,Last Action,Last Login At,Created At Date
John Crichton,John.Crichton2@demo.moonlite.com,"",1,0,40,0,2012-05-10 22:13:24 UTC,"",2012-05-10 22:12:55 UTC
TestyMothaFucka,testymotha@t.com,"",1,0,10,1,2012-05-15 20:54:00 UTC,"",2012-05-15 20:52:21 UTC
jj,pan@p.com,"",2,0,6,4,2012-05-11 18:48:49 UTC,"",2012-05-11 18:14:06 UTC
asdfasdf,asdf@sdfsd.com,"",2,0,0,0,,"",2012-05-11 19:23:34 UTC
testy,testyone@t.com,"",2,0,15,8,2012-05-15 20:32:30 UTC,"",2012-05-15 19:41:19 UTC
Hugo Weaving,Hugo.Weaving26@demo.moonlite.com,"",1,0,40,0,2012-05-10 22:13:09 UTC,"",2012-05-10 22:12:55 UTC
Guybrush Threepwood,Guybrush.Threepwood91@demo.moonlite.com,"",1,0,40,0,2012-05-10 22:13:18 UTC,"",2012-05-10 22:12:55 UTC
Atticus Finch,Atticus.Finch8@demo.moonlite.com,"",1,0,40,0,2012-05-10 22:13:26 UTC,"",2012-05-10 22:12:55 UTC
Dak Ralter,Dak.Ralter41@demo.moonlite.com,"",1,0,40,0,2012-05-10 22:13:28 UTC,"",2012-05-10 22:12:55 UTC
USER,user@moonlite.com,"",1,0,10,0,2012-05-15 19:19:42 UTC,"",2012-05-15 19:16:21 UTC
asdf,anonymous6JkXzSiCPsQdWff@moonlite.com,123123,1,0,32,5,2012-05-22 02:27:26 UTC,"",2012-05-22 01:51:34 UTC
David,anonymousCcYkrRSFgGN8g5e@moonlite.com,Jones,1,0,10,2,2012-05-22 01:51:00 UTC,"",2012-05-22 01:39:56 UTC
23232,anonymousnppnwpWBwW4wO3l@moonlite.com,123123,1,0,30,11,2012-05-22 02:46:08 UTC,"",2012-05-22 02:27:55 UTC
sdfsf,anonymousuztix8WepRmEyzm@moonlite.com,asdfasdf,0,0,3,0,2012-05-22 07:37:07 UTC,"",2012-05-22 07:36:52 UTC
sadfasdf,anonymousnRzaBdQqBYrw7B9@moonlite.com,adsfasdf,1,0,9,6,2012-05-22 07:32:39 UTC,"",2012-05-22 02:46:28 UTC
asdf,anonymousgcEjm7IFToOYdWJ@moonlite.com,a123123,0,0,4,0,2012-05-22 07:36:15 UTC,"",2012-05-22 07:34:50 UTC
1231,anonymousVUnub87ZzfwV66f@moonlite.com,23123123,0,0,3,0,2012-05-22 07:38:34 UTC,"",2012-05-22 07:38:20 UTC
1231,anonymousEXvopMB6md9BZyi@moonlite.com,2345345,0,0,3,0,2012-05-22 07:40:06 UTC,"",2012-05-22 07:39:56 UTC
23423,anonymousEU2J3XFn0eGh5vH@moonlite.com,wqweqer,1,0,6,0,2012-05-24 18:13:08 UTC,"",2012-05-22 07:40:37 UTC
asdfasdfsdfasdfadf,anonymousE7jHVj4LHfzws4Z@moonlite.com,asdfasdf,1,0,29,11,2012-05-23 21:32:06 UTC,"",2012-05-23 18:14:26 UTC
345345,anonymousDKiTbExbz4tLQod@moonlite.com,345123,1,0,2,0,2012-05-26 19:50:20 UTC,"",2012-05-26 19:50:11 UTC
123123,anonymousRy6j5UlAsHYMUOD@moonlite.com,123123,2,0,16,2,2012-05-24 18:09:04 UTC,"",2012-05-23 18:14:54 UTC
Maing,anonymousfTW7Ark9x0Y5s1y@moonlite.com,dude,1,0,3,1,2012-05-23 18:20:36 UTC,"",2012-05-23 18:13:37 UTC
asdfasdf,anonymousXKSnMOsXrlKMynH@moonlite.com,asdfasdf,1,0,3,1,2012-05-23 03:03:53 UTC,"",2012-05-23 03:03:14 UTC
asdfasdf,anonymousecYJIGOm1BiSxHJ@moonlite.com,asdfasdfasdf,1,0,1,0,2012-05-25 17:24:39 UTC,"",2012-05-25 17:24:31 UTC
DAAAAAAMn,asd22f@asdf.com,dude,1,0,1,0,2012-05-24 19:45:48 UTC,"",2012-05-24 19:45:33 UTC
asdfasdf,anonymouswBUtzcpHZFIRdH7@moonlite.com,123123,1,0,2,0,2012-05-26 19:23:43 UTC,"",2012-05-26 19:23:28 UTC
adfdf,anonymousqfUPbyHDUYMVi3W@moonlite.com,sdfsdfsdfsdf,2,0,3,0,2012-05-25 05:57:32 UTC,"",2012-05-25 05:57:09 UTC
23123,anonymousvQGRcK5lMPs9xSg@moonlite.com,123123,1,0,2,0,2012-05-26 18:38:21 UTC,"",2012-05-26 18:38:13 UTC
Jonathan Kirst,jskirst@gmail.com,"",0,0,0,0,,"",2012-05-25 09:58:16 UTC
123123,anonymousW5AatmiQPzkQ31h@moonlite.com,123123123123,1,0,2,0,2012-05-26 19:49:55 UTC,"",2012-05-26 19:38:54 UTC
2131,dude@moonlite.com,123123123,2,0,3,0,2012-05-26 17:56:20 UTC,"",2012-05-26 17:55:57 UTC
123123,anonymousiSQj5AThn7iJi5v@moonlite.com,123123,1,0,1,0,2012-05-26 18:40:54 UTC,"",2012-05-26 18:39:52 UTC
21231,anonymousjYhQh8CHX6ZujyE@moonlite.com,5345345,1,0,1,0,2012-05-26 18:30:28 UTC,"",2012-05-26 18:30:21 UTC
anonymous,anonymous5asoOTku0ekkCKJ@moonlite.com,"",1,0,0,0,,"",2012-05-26 18:38:12 UTC
sdfsdfs,anonymousNsuCoU50aKBiOgQ@moonlite.com,asdfasdfasdf,1,0,0,0,,"",2012-05-26 19:06:07 UTC
123123,anonymouspjmsILF2S5Hv3WY@moonlite.com,123123,1,0,2,0,2012-05-26 19:38:33 UTC,"",2012-05-26 19:38:22 UTC
123123124,aasdfe232@asdf.com,123123123,1,0,2,0,2012-05-26 20:16:24 UTC,"",2012-05-26 20:09:19 UTC
asdfasdf,anonymousfe8hnVHSwuljMhg@moonlite.com,asdfasdf,1,0,2,0,2012-05-26 19:50:55 UTC,"",2012-05-26 19:50:35 UTC
asdfasdf,anonymousJ55ZcWvK9qTrdso@moonlite.com,asdfasdf,1,0,2,1,2012-05-26 19:51:25 UTC,"",2012-05-26 19:51:11 UTC
asdfasdfsdfasdfadf,anonymousXzLuXa46N592VoD@moonlite.com,asdfasdfasdf,1,0,0,0,,"",2012-05-26 20:16:49 UTC
asdfsdf,anonymousBJx2hmkUYbIcU7m@moonlite.com,dddd,1,0,1,0,2012-05-30 20:06:46 UTC,"",2012-05-30 20:06:35 UTC
asdfasdf,sdf234@m.com,"",2,0,0,0,,"",2012-05-30 16:23:04 UTC
asdfasdf,123123asdf2@doggy.com,"",2,0,5,1,2012-05-29 22:52:23 UTC,"",2012-05-29 22:23:48 UTC
Testuser,testuser1s45@moonlite.com,"",0,0,0,0,,"",2012-05-29 22:23:10 UTC
not a test user,anonymousGv1vDKSJV5Ze5Je@moonlite.com,not testing,1,0,7,1,2012-05-30 23:22:19 UTC,"",2012-05-30 23:21:34 UTC
this is a test_user,jcasdfasdf@moonlite.com,password,1,1,3,0,2012-05-30 23:25:15 UTC,"",2012-05-30 23:24:53 UTC
not a test user,1231231jc@moonlite.com,"",2,0,0,0,,"",2012-05-30 23:26:41 UTC
fake user,jc@demo.moonlite.com,"",2,0,0,0,,"",2012-05-30 23:27:12 UTC
not a test user 2,tesekljsdf@moonlite.com,2222,1,1,4,0,2012-05-30 23:23:41 UTC,"",2012-05-30 23:23:17 UTC
Jonathan Kirst test_user,jc@moonlite.com,"",5,4,84,30,2012-06-11 00:48:18 UTC,"",2012-05-10 22:12:11 UTC
